Bioguide ID,Name,Chamber,Party,State,District,Term Start,Age,Birthdate,Education,Previous Professions,Total Receipts,Total Disbursements,Main Funding Sources,Policy Focus & Platforms,Projected/Historical Voting Alignment,Committee Assignments,Estimated Net Worth
M001176,Jeff Merkley,Senate,Democrat,OR,Unknown,2021-01-03,69,1956-10-24,"Stanford University (BA in International Relations), Princeton University (MPA)",Public service,7893849.32,4871006.77,Individual/PAC contributions,General legislative priorities,Projected ~95%-99% Democratic (High Cohesion),Senate Committee on Appropriations; Senate Committee on Appropriations (Subcommittee); Senate Committee on Environment and Public Works; Senate Committee on Environment and Public Works (Subcommittee); Senate Committee on Foreign Relations; Senate Committee on Foreign Relations (Subcommittee); Senate Committee on Rules and Administration; Senate Committee on the Budget; Joint Committee on Printing,"$1,900,511"
R000122,John Reed,Senate,Democrat,RI,Unknown,2021-01-03,76,1949-11-12,Juris Doctor (J.D.) from Harvard Law School,U.S. Army Officer and Attorney,4214314.74,2580940.81,Individual/PAC contributions,"National Security and Defense, Education and Student Loan Reform, Financial Regulation and Consumer Protection",Projected ~95%-99% Democratic (High Cohesion),"Senate Committee on Appropriations; Senate Committee on Appropriations (Subcommittee); Senate Committee on Armed Services; Senate Committee on Armed Services (Subcommittee); Senate Committee on Banking, Housing, and Urban Affairs; Senate Committee on Banking, Housing, and Urban Affairs (Subcommittee); Senate Select Committee on Intelligence",N/A (No net worth disclosure provided in sources)
R000584,James Risch,Senate,Republican,ID,Unknown,2021-01-03,83,1943-05-03,"Juris Doctor (J.D.), University of Idaho College of Law",Prosecuting Attorney and Rancher,4431093.48,3089996.46,Individual/PAC contributions,"Foreign Relations and National Security, Energy and Natural Resources, Fiscal Responsibility and Small Business Support",Projected ~95%-99% Republican (High Cohesion),Senate Committee on Energy and Natural Resources; Senate Committee on Energy and Natural Resources (Subcommittee); Senate Committee on Foreign Relations; Senate Committee on Foreign Relations (Subcommittee); Senate Committee on Small Business and Entrepreneurship; Senate Select Committee on Ethics; Senate Select Committee on Intelligence; United States Senate Caucus on International Narcotics Control,"$53,385,526"
S001181,Jeanne Shaheen,Senate,Democrat,NH,Unknown,2021-01-03,79,1947-01-28,Master of Science in Library Science from Syracuse University,High school teacher and small business owner,2668037.98,2914576.92,Individual/PAC contributions,"Healthcare access and reproductive rights, Small business support and economic development, Foreign relations and national security",Projected ~95%-99% Democratic (High Cohesion),Senate Committee on Appropriations; Senate Committee on Appropriations (Subcommittee); Senate Committee on Armed Services; Senate Committee on Armed Services (Subcommittee); Senate Committee on Foreign Relations; Senate Committee on Foreign Relations (Subcommittee); Senate Committee on Small Business and Entrepreneurship; Senate Select Committee on Ethics; Commission on Security and Cooperation in Europe,"$3,457,871"
W000805,Mark Warner,Senate,Democrat,VA,Unknown,2021-01-03,71,1954-12-15,Juris Doctor (J.D.) from Harvard Law School,Venture capitalist and telecommunications entrepreneur,11634126.0,11611984.0,Individual/PAC contributions,"Cybersecurity and technology policy, National security and intelligence, Fiscal responsibility and economic growth",Projected ~95%-99% Democratic (High Cohesion),"Senate Committee on Banking, Housing, and Urban Affairs; Senate Committee on Banking, Housing, and Urban Affairs (Subcommittee); Senate Committee on Finance; Senate Committee on Finance (Subcommittee); Senate Committee on Rules and Administration; Senate Committee on the Budget; Senate Select Committee on Intelligence","$228,129,609"
G000555,Kirsten Gillibrand,Senate,Democrat,NY,Unknown,2025-01-03,59,1966-12-09,"Juris Doctor (J.D.) from the University of California, Los Angeles (UCLA) School of Law",Attorney in private practice and public service,4649656.96,4489397.18,Individual/PAC contributions,"Combating sexual assault in the military and on college campuses, Paid family and medical leave advocacy, Healthcare access and 9/11 first responder benefits",Projected ~95%-99% Democratic (High Cohesion),Senate Committee on Appropriations; Senate Committee on Appropriations (Subcommittee); Senate Committee on Armed Services; Senate Committee on Armed Services (Subcommittee); Senate Select Committee on Intelligence; Senate Special Committee on Aging,"$102,003"
C001088,Christopher Coons,Senate,Democrat,DE,Unknown,2021-01-03,62,1963-09-09,Juris Doctor (J.D.) from Yale Law School,Corporate Attorney at W. L. Gore & Associates,6669193.85,3804022.62,Individual/PAC contributions,"Foreign Relations and Global Development, Intellectual Property and Patent Reform, Bipartisan Climate and Environmental Solutions",Projected ~95%-99% Democratic (High Cohesion),Senate Committee on Appropriations; Senate Committee on Appropriations (Subcommittee); Senate Committee on Foreign Relations; Senate Committee on Foreign Relations (Subcommittee); Senate Committee on Small Business and Entrepreneurship; Senate Committee on the Judiciary; Senate Committee on the Judiciary (Subcommittee); Senate Select Committee on Ethics,N/A (No net worth disclosure provided in sources)
A000055,Robert Aderholt,House,Republican,AL,District 4,2025-01-03,61,1965-07-22,Juris Doctor (J.D.) from Cumberland School of Law at Samford University,Attorney in private practice and Haleyville Municipal Judge,1022664.06,1239900.72,Individual/PAC contributions,"Fiscal conservatism and federal appropriations, Social conservatism, including pro-life advocacy and religious liberty, Agriculture, infrastructure, and rural economic development",Projected ~95%-99% Republican (High Cohesion),House Committee on Appropriations; House Committee on Appropriations (Subcommittee),"$3,161,009"
B001230,Tammy Baldwin,Senate,Democrat,WI,Unknown,2025-01-03,64,1962-02-11,"Smith College (BA in Political Science/Mathematics), University of Wisconsin Law School (JD)",Public service,1197113.57,1084310.9,Individual/PAC contributions,General legislative priorities,Projected ~95%-99% Democratic (High Cohesion),"Senate Committee on Appropriations; Senate Committee on Appropriations (Subcommittee); Senate Committee on Commerce, Science, and Transportation; Senate Committee on Commerce, Science, and Transportation (Subcommittee); Senate Committee on Health, Education, Labor, and Pensions; Senate Committee on Health, Education, Labor, and Pensions (Subcommittee)","$758,501"
B001267,Michael Bennet,Senate,Democrat,CO,Unknown,2023-01-03,61,1964-11-28,Juris Doctor (J.D.) from Yale Law School,"Superintendent of Denver Public Schools, Managing Director at Anschutz Investment Company, and Attorney",1395302.92,1934336.37,Individual/PAC contributions,"Education reform and modernization, Child poverty reduction (including the expanded Child Tax Credit), Environmental conservation, public lands protection, and climate change mitigation",Projected ~95%-99% Democratic (High Cohesion),"Senate Committee on Agriculture, Nutrition, and Forestry; Senate Committee on Agriculture, Nutrition, and Forestry (Subcommittee); Senate Committee on Finance; Senate Committee on Finance (Subcommittee); Senate Committee on Rules and Administration; Senate Select Committee on Intelligence","$12,108,015"
B001257,Gus Bilirakis,House,Republican,FL,District 12,2025-01-03,63,1963-02-08,Juris Doctor (J.D.) from Stetson University College of Law,"Attorney specializing in probate and estate planning, College instructor",1588537.71,1155884.74,Individual/PAC contributions,"Veterans' affairs and benefits, Healthcare access and rare disease research, Consumer protection and telecommunications",Projected ~95%-99% Republican (High Cohesion),House Committee on Energy and Commerce; House Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party; House Committee on Energy and Commerce (Subcommittee),"$605,517"
B000490,Sanford Bishop,House,Democrat,GA,District 2,2025-01-03,79,1947-02-04,Juris Doctor (J.D.) from Emory University School of Law,Attorney in private practice,1126529.96,861582.99,Individual/PAC contributions,"Agriculture and Rural Development, Veterans and Military Affairs, National Defense and Security",Projected ~95%-99% Democratic (High Cohesion),House Committee on Appropriations; House Committee on Appropriations (Subcommittee),"$40,504"
B001243,Marsha Blackburn,Senate,Republican,TN,Unknown,2025-01-03,74,1952-06-06,"Bachelor of Science in Home Economics, Mississippi State University",Marketing consultant and businesswoman (Founder of Marketing Strategies),2239550.04,1550219.15,Individual/PAC contributions,"Fiscal conservatism and tax cuts, Border security and immigration enforcement, Technology regulation, online privacy, and child safety",Projected ~95%-99% Republican (High Cohesion),"Senate Committee on Commerce, Science, and Transportation; Senate Committee on Commerce, Science, and Transportation (Subcommittee); Senate Committee on Finance; Senate Committee on Finance (Subcommittee); Senate Committee on the Judiciary; Senate Committee on the Judiciary (Subcommittee); Senate Committee on Veterans' Affairs; Joint Economic Committee","$424,510"
B001277,Richard Blumenthal,Senate,Democrat,CT,Unknown,2023-01-03,80,1946-02-13,Juris Doctor (J.D.) from Yale Law School,Attorney and U.S. Attorney for the District of Connecticut,8737377.0,8718286.0,Individual/PAC contributions,"Consumer Protection, Gun Violence Prevention, Veterans' Affairs",Projected ~95%-99% Democratic (High Cohesion),Senate Committee on Armed Services; Senate Committee on Armed Services (Subcommittee); Senate Committee on Homeland Security and Governmental Affairs; Senate Committee on Homeland Security and Governmental Affairs (Subcommittee); Senate Committee on the Judiciary; Senate Committee on the Judiciary (Subcommittee); Senate Committee on Veterans' Affairs; United States Senate Caucus on International Narcotics Control,"$100,190,174"
B001236,John Boozman,Senate,Republican,AR,Unknown,2023-01-03,75,1950-12-10,Doctor of Optometry (O.D.) from Southern College of Optometry,Optometrist and co-founder of Boozman-Hof Regional Eye Clinic,697061.17,651065.18,Individual/PAC contributions,"Agriculture and Nutrition, Veterans' Care and Benefits, Infrastructure and Economic Development",Projected ~95%-99% Republican (High Cohesion),"Senate Committee on Agriculture, Nutrition, and Forestry; Senate Committee on Agriculture, Nutrition, and Forestry (Subcommittee); Senate Committee on Appropriations; Senate Committee on Appropriations (Subcommittee); Senate Committee on Environment and Public Works; Senate Committee on Environment and Public Works (Subcommittee); Senate Committee on Rules and Administration; Senate Committee on Veterans' Affairs; Commission on Security and Cooperation in Europe","$2,938,504"
B001260,Vern Buchanan,House,Republican,FL,District 16,2025-01-03,75,1951-05-08,Master of Business Administration (MBA) from the University of Detroit,"Businessman and entrepreneur, notably founding the Buchanan Automotive Group",929859.45,983349.77,Individual/PAC contributions,"Tax reform and economic growth, Animal welfare advocacy, Veterans' healthcare and benefits",Projected ~95%-99% Republican (High Cohesion),Joint Committee on Taxation; House Committee on Ways and Means; House Committee on Ways and Means (Subcommittee),N/A (No net worth disclosure provided in sources)
C000059,Ken Calvert,House,Republican,CA,District 41,2025-01-03,73,1953-06-08,"Bachelor of Arts in Economics, San Diego State University",Real estate broker and business owner,6142469.38,4907603.65,Individual/PAC contributions,"Defense and National Security, Infrastructure and Transportation, Water Resources and Security",Projected ~95%-99% Republican (High Cohesion),House Committee on Appropriations; House Committee on Appropriations (Subcommittee),"$3,900,002"
C001047,Shelley Capito,Senate,Republican,WV,Unknown,2021-01-03,72,1953-11-26,Master of Education (M.Ed.) from the University of Virginia,"College career counselor, Director of the educational information center for the West Virginia Board of Regents",1367504.0,1288226.0,Individual/PAC contributions,"Infrastructure development and rural broadband expansion, Energy independence and supporting traditional energy industries like coal and natural gas, Combating the opioid epidemic and improving public health resources",Projected ~95%-99% Republican (High Cohesion),"Senate Committee on Appropriations; Senate Committee on Appropriations (Subcommittee); Senate Committee on Commerce, Science, and Transportation; Senate Committee on Commerce, Science, and Transportation (Subcommittee); Senate Committee on Environment and Public Works; Senate Committee on Environment and Public Works (Subcommittee); Senate Committee on Rules and Administration",N/A (No net worth disclosure provided in sources)
C001072,André Carson,House,Democrat,IN,District 7,2025-01-03,51,1974-10-16,Master of Science in Business Management from Indiana Wesleyan University,Law enforcement officer (Indiana State Excise Police) and intelligence analyst (Indiana Department of Homeland Security),1006176.73,834249.21,Individual/PAC contributions,"National Security and Intelligence, Civil Rights and Social Justice, Infrastructure and Transportation",Projected ~95%-99% Democratic (High Cohesion),House Committee on Transportation and Infrastructure; House Permanent Select Committee on Intelligence; House Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party; House Committee on Transportation and Infrastructure (Subcommittee),N/A (No net worth disclosure provided in sources)
C001051,John Carter,House,Republican,TX,District 31,2025-01-03,84,1941-11-06,"Texas Tech University (BA), University of Texas School of Law (JD)",Public service,1419042.42,1289653.97,Individual/PAC contributions,General legislative priorities,Projected ~95%-99% Republican (High Cohesion),House Committee on Appropriations; House Committee on Appropriations (Subcommittee),"$2,759,999"
C001075,Bill Cassidy,Senate,Republican,LA,Unknown,2021-01-03,68,1957-09-28,"Louisiana State University (BS in Biochemistry), LSU School of Medicine (MD)",Public service,627040.05,2660513.5,Individual/PAC contributions,General legislative priorities,Projected ~95%-99% Republican (High Cohesion),"Senate Committee on Energy and Natural Resources; Senate Committee on Energy and Natural Resources (Subcommittee); Senate Committee on Finance; Senate Committee on Finance (Subcommittee); Senate Committee on Health, Education, Labor, and Pensions; Senate Committee on Health, Education, Labor, and Pensions (Subcommittee); Senate Committee on Veterans' Affairs",N/A (No net worth disclosure provided in sources)
C001066,Kathy Castor,House,Democrat,FL,District 14,2025-01-03,59,1966-08-20,Juris Doctor (J.D.) from Florida State University College of Law,Attorney specializing in environmental and land use law,2337125.13,819132.0,Individual/PAC contributions,"Climate change mitigation and environmental protection, Healthcare access and affordability, Consumer protection and children's online privacy",Projected ~95%-99% Democratic (High Cohesion),House Committee on Energy and Commerce; House Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party; House Committee on Energy and Commerce (Subcommittee),"$1,545,529"
C001080,Judy Chu,House,Democrat,CA,District 28,2025-01-03,73,1953-07-07,Ph.D. in Clinical Psychology from the California School of Professional Psychology,College Psychology Professor and Clinical Psychologist,930123.25,857831.85,Individual/PAC contributions,"Civil Rights and Asian American Pacific Islander (AAPI) Advocacy, Women's Reproductive Rights and Healthcare Access, Small Business Support and Economic Opportunity",Projected ~95%-99% Democratic (High Cohesion),House Committee on Ways and Means; House Committee on the Budget; House Committee on Ways and Means (Subcommittee),N/A (No net worth disclosure provided in sources)
C001067,Yvette Clarke,House,Democrat,NY,District 9,2025-01-03,61,1964-11-21,"Bachelor of Science, Medgar Evers College","Community Organizer, Director of Youth Services for the NYC Department of Youth and Community Development, Legislative Aide",1013953.29,1093029.88,Individual/PAC contributions,"Technology, Cybersecurity, and Digital Equity, Immigration Reform and Pathway to Citizenship, Healthcare Access and Women's Health",Projected ~95%-99% Democratic (High Cohesion),House Committee on Energy and Commerce; House Committee on Energy and Commerce (Subcommittee),"$105,003"
C001061,Emanuel Cleaver,House,Democrat,MO,District 5,2025-01-03,81,1944-10-26,"Master of Divinity, St. Paul School of Theology",Methodist Minister,1336737.64,1083482.88,Individual/PAC contributions,"Affordable Housing and Urban Development, Civil Rights and Social Justice, Financial Services and Consumer Protection",Projected ~95%-99% Democratic (High Cohesion),House Committee on Financial Services; House Committee on Financial Services (Subcommittee),"$859,006"
C000537,James Clyburn,House,Democrat,SC,District 6,2025-01-03,86,1940-07-21,"Bachelor of Science in History, South Carolina State University",Public school history teacher and South Carolina Human Affairs Commissioner,1225050.92,1429385.48,Individual/PAC contributions,"Voting rights and civil rights protection, Rural infrastructure and economic development, Access to affordable healthcare and education",Projected ~95%-99% Democratic (High Cohesion),House Committee on Appropriations; House Committee on Appropriations (Subcommittee),"$397,005"
C001068,Steve Cohen,House,Democrat,TN,District 9,2025-01-03,77,1949-05-24,Juris Doctor (J.D.) from the University of Memphis School of Law,Attorney in private practice and legal adviser to the Memphis Police Department,776210.64,652524.94,Individual/PAC contributions,"Civil rights and criminal justice reform, Transportation and infrastructure development, Animal welfare and environmental protection",Projected ~95%-99% Democratic (High Cohesion),House Committee on the Judiciary; House Permanent Select Committee on Intelligence; House Committee on the Judiciary (Subcommittee); House Permanent Select Committee on Intelligence (Subcommittee),"$3,410,551"
C001053,Tom Cole,House,Republican,OK,District 4,2025-01-03,77,1949-04-28,"Ph.D. in British History, University of Oklahoma","History Professor, Political Consultant",3827891.36,3008431.84,Individual/PAC contributions,"Native American Affairs, Federal Budget and Appropriations, National Defense and Security",Projected ~95%-99% Republican (High Cohesion),House Committee on Appropriations,"$3,713,537"
C001059,Jim Costa,House,Democrat,CA,District 21,2025-01-03,74,1952-04-13,"Bachelor of Arts in Political Science, California State University, Fresno",Congressional and Legislative Aide,1337630.34,608733.94,Individual/PAC contributions,"Agriculture and Food Policy, Water Rights and Resource Management, Infrastructure and Transportation",Projected ~95%-99% Democratic (High Cohesion),House Committee on Agriculture; House Committee on Foreign Affairs; House Committee on Agriculture (Subcommittee); House Committee on Foreign Affairs (Subcommittee),"$3,814,503"
C001069,Joe Courtney,House,Democrat,CT,District 2,2025-01-03,73,1953-04-06,Juris Doctor (J.D.) from the University of Connecticut School of Law,Attorney in private practice and public defender,760424.39,508302.32,Individual/PAC contributions,"Defense and National Security (specifically naval shipbuilding and submarine production), Healthcare access and affordability, Education and student loan reform",Projected ~95%-99% Democratic (High Cohesion),House Committee on Armed Services; House Committee on Education and Workforce; House Committee on Armed Services (Subcommittee); House Committee on Education and the Workforce (Subcommittee),"$403,514"
C000880,Michael Crapo,Senate,Republican,ID,Unknown,2023-01-03,75,1951-05-20,Juris Doctor (J.D.) from Harvard Law School,Attorney in private practice,2222161.6,1618565.4,Individual/PAC contributions,"Fiscal conservatism and tax reform, Financial sector regulation and banking reform, Natural resources and collaborative conservation",Projected ~95%-99% Republican (High Cohesion),"Senate Committee on Banking, Housing, and Urban Affairs; Senate Committee on Banking, Housing, and Urban Affairs (Subcommittee); Senate Committee on Finance; Senate Committee on Finance (Subcommittee); Senate Committee on the Budget; Joint Committee on Taxation",N/A (No net worth disclosure provided in sources)
C001087,Eric Crawford,House,Republican,AR,District 1,2025-01-03,60,1966-01-22,"Bachelor of Science in Agricultural Business and Economics, Arkansas State University","U.S. Army Explosive Ordnance Disposal (EOD) technician, Agricultural news broadcaster and radio host",944302.03,743498.3,Individual/PAC contributions,"Agriculture and farm policy, Transportation and infrastructure, National security and veterans affairs",Projected ~95%-99% Republican (High Cohesion),House Committee on Transportation and Infrastructure; House Committee on Agriculture; House Permanent Select Committee on Intelligence; House Committee on Agriculture (Subcommittee); House Committee on Transportation and Infrastructure (Subcommittee),N/A (No net worth disclosure provided in sources)
C001063,Henry Cuellar,House,Democrat,TX,District 28,2025-01-03,70,1955-09-19,"Georgetown University (BSFS), University of Texas at Austin (MA, Ph.D.), University of Texas School of Law (JD)",Public service,2231952.32,1150307.35,Individual/PAC contributions,General legislative priorities,Projected ~95%-99% Democratic (High Cohesion),House Committee on Appropriations; House Committee on Appropriations (Subcommittee),"$902,507"
D000096,Danny Davis,House,Democrat,IL,District 7,2025-01-03,84,1941-09-06,Ph.D. in Public Administration from Union Institute & University,"Health care administrator, educator, and community organizer",109159.89,138981.12,Individual/PAC contributions,"Healthcare access and reform, Education and early childhood development, Poverty reduction and prisoner re-entry support",Projected ~95%-99% Democratic (High Cohesion),House Committee on Ways and Means; House Committee on Ways and Means (Subcommittee),"$453,007"
D000197,Diana DeGette,House,Democrat,CO,District 1,2025-01-03,69,1957-07-29,Juris Doctor (J.D.) from New York University School of Law,Attorney specializing in civil rights and employment law,1671530.59,1650611.03,Individual/PAC contributions,"Healthcare and medical research (including the 21st Century Cures Act), Reproductive rights and women's health, Environmental protection and public lands preservation",Projected ~95%-99% Democratic (High Cohesion),House Committee on Energy and Commerce; House Committee on Energy and Commerce (Subcommittee),N/A (No net worth disclosure provided in sources)
D000216,Rosa DeLauro,House,Democrat,CT,District 3,2025-01-03,83,1943-03-02,"Master of Arts in International Politics, Columbia University","Political campaign manager, Chief of Staff to Senator Chris Dodd, and Executive Director of EMILY's List",1152006.56,1028036.22,Individual/PAC contributions,"Family economic security and the Child Tax Credit, Public health, food safety, and healthcare access, Labor rights, equal pay, and raising the minimum wage",Projected ~95%-99% Democratic (High Cohesion),House Committee on Appropriations; House Committee on Appropriations (Subcommittee),"$15,934,508"
D000616,Scott DesJarlais,House,Republican,TN,District 4,2025-01-03,62,1964-02-21,"Doctor of Medicine (M.D.), University of South Dakota School of Medicine",Physician (Family Medicine),973111.33,957680.19,Individual/PAC contributions,"Healthcare Reform, Fiscal Conservatism and Government Spending Reduction, Agriculture and Rural Development",Projected ~95%-99% Republican (High Cohesion),House Committee on Agriculture; House Committee on Armed Services; House Committee on Agriculture (Subcommittee); House Committee on Armed Services (Subcommittee),N/A (No net worth disclosure provided in sources)
D000600,Mario Diaz-Balart,House,Republican,FL,District 26,2025-01-03,64,1961-09-25,University of South Florida (attended),Public service,1073881.66,999323.92,Individual/PAC contributions,General legislative priorities,Projected ~95%-99% Republican (High Cohesion),House Committee on Appropriations; House Committee on Appropriations (Subcommittee),"-$37,000"
D000399,Lloyd Doggett,House,Democrat,TX,District 37,2025-01-03,79,1946-10-06,"Juris Doctor (J.D.), University of Texas School of Law",Attorney in private practice,471289.18,309125.2,Individual/PAC contributions,"Healthcare access and Medicare preservation, Environmental protection and climate action, Tax reform and affordable higher education",Projected ~95%-99% Democratic (High Cohesion),Joint Committee on Taxation; House Committee on Ways and Means; House Committee on the Budget; House Committee on Ways and Means (Subcommittee),"$15,533,044"
F000459,Charles Fleischmann,House,Republican,TN,District 3,2025-01-03,63,1962-10-11,Juris Doctor (J.D.) from the University of Tennessee College of Law,Attorney and founder of the Fleischmann & Associates law firm,2330803.33,752330.86,Individual/PAC contributions,"Nuclear Energy and Support for Oak Ridge National Laboratory, Fiscal Conservatism and Federal Spending Reduction, National Security and Border Security",Projected ~95%-99% Republican (High Cohesion),"House Committee on Science, Space, and Technology; House Committee on Appropriations; House Committee on Science, Space, and Technology (Subcommittee); House Committee on Appropriations (Subcommittee)",N/A (No net worth disclosure provided in sources)
