Bioguide ID,Name,Chamber,Party,State,District,Term Start,Age,Birthdate,Education,Previous Professions,Total Receipts,Total Disbursements,Main Funding Sources,Policy Focus & Platforms,Projected/Historical Voting Alignment,Committee Assignments,Estimated Net Worth,Term End Date,Status
C001061,Emanuel Cleaver,House,Democrat,MO,District 5,2025-01-03,81.0,1944-10-26,"Master of Divinity, St. Paul School of Theology",Methodist Minister,1336737.64,1083482.88,Individual/PAC contributions,"Affordable Housing and Urban Development, Civil Rights and Social Justice, Financial Services and Consumer Protection",DW-NOMINATE: -0.45 (Solidly Progressive) • ~93% Party Loyalty,House Committee on Financial Services,"$859,006",2027-01-03,
C000537,James Clyburn,House,Democrat,SC,District 6,2025-01-03,86.0,1940-07-21,"Bachelor of Science in History, South Carolina State University",Public school history teacher and South Carolina Human Affairs Commissioner,1225050.92,1429385.48,Individual/PAC contributions,"Voting rights and civil rights protection, Rural infrastructure and economic development, Access to affordable healthcare and education",DW-NOMINATE: -0.47 (Solidly Progressive) • ~93% Party Loyalty,House Committee on Appropriations,"$397,005",2027-01-03,
C001068,Steve Cohen,House,Democrat,TN,District 9,2025-01-03,77.0,1949-05-24,Juris Doctor (J.D.) from the University of Memphis School of Law,Attorney in private practice and legal adviser to the Memphis Police Department,776210.64,652524.94,Individual/PAC contributions,"Civil rights and criminal justice reform, Transportation and infrastructure development, Animal welfare and environmental protection",DW-NOMINATE: -0.39 (Moderate Democrat) • ~91% Party Loyalty,House Permanent Select Committee on Intelligence (Subcommittee); House Committee on the Judiciary; House Permanent Select Committee on Intelligence,"$3,410,551",2027-01-03,
C001053,Tom Cole,House,Republican,OK,District 4,2025-01-03,77.0,1949-04-28,"Ph.D. in British History, University of Oklahoma","History Professor, Political Consultant",3827891.36,3008431.84,Individual/PAC contributions,"Native American Affairs, Federal Budget and Appropriations, National Defense and Security",DW-NOMINATE: +0.32 (Moderate Republican) • ~89% Party Loyalty,House Committee on Appropriations,"$3,713,537",2027-01-03,
C001059,Jim Costa,House,Democrat,CA,District 21,2025-01-03,74.0,1952-04-13,"Bachelor of Arts in Political Science, California State University, Fresno",Congressional and Legislative Aide,1337630.34,608733.94,Individual/PAC contributions,"Agriculture and Food Policy, Water Rights and Resource Management, Infrastructure and Transportation",DW-NOMINATE: -0.20 (Moderate Democrat) • ~85% Party Loyalty,House Committee on Agriculture; House Committee on Foreign Affairs,"$3,814,503",2027-01-03,
C001069,Joe Courtney,House,Democrat,CT,District 2,2025-01-03,73.0,1953-04-06,Juris Doctor (J.D.) from the University of Connecticut School of Law,Attorney in private practice and public defender,760424.39,508302.32,Individual/PAC contributions,"Defense and National Security (specifically naval shipbuilding and submarine production), Healthcare access and affordability, Education and student loan reform",DW-NOMINATE: -0.34 (Moderate Democrat) • ~90% Party Loyalty,House Committee on Armed Services; House Committee on Education and Workforce; House Committee on Education and the Workforce,"$403,514",2027-01-03,
C001087,Eric Crawford,House,Republican,AR,District 1,2025-01-03,60.0,1966-01-22,"Bachelor of Science in Agricultural Business and Economics, Arkansas State University","U.S. Army Explosive Ordnance Disposal (EOD) technician, Agricultural news broadcaster and radio host",944302.03,743498.3,Individual/PAC contributions,"Agriculture and farm policy, Transportation and infrastructure, National security and veterans affairs",DW-NOMINATE: +0.46 (Solidly Conservative) • ~93% Party Loyalty,House Committee on Agriculture; House Committee on Transportation and Infrastructure; House Permanent Select Committee on Intelligence,N/A (No net worth disclosure provided in sources),2027-01-03,
C001063,Henry Cuellar,House,Democrat,TX,District 28,2025-01-03,70.0,1955-09-19,"Georgetown University (BSFS), University of Texas at Austin (MA, Ph.D.), University of Texas School of Law (JD)",Public service,2231952.32,1150307.35,Individual/PAC contributions,General legislative priorities,DW-NOMINATE: -0.23 (Moderate Democrat) • ~86% Party Loyalty,House Committee on Appropriations,"$902,507",2027-01-03,
D000096,Danny Davis,House,Democrat,IL,District 7,2025-01-03,84.0,1941-09-06,Ph.D. in Public Administration from Union Institute & University,"Health care administrator, educator, and community organizer",109159.89,138981.12,Individual/PAC contributions,"Healthcare access and reform, Education and early childhood development, Poverty reduction and prisoner re-entry support",DW-NOMINATE: -0.49 (Solidly Progressive) • ~94% Party Loyalty,House Committee on Ways and Means,"$453,007",2027-01-03,
D000197,Diana DeGette,House,Democrat,CO,District 1,2025-01-03,69.0,1957-07-29,Juris Doctor (J.D.) from New York University School of Law,Attorney specializing in civil rights and employment law,1671530.59,1650611.03,Individual/PAC contributions,"Healthcare and medical research (including the 21st Century Cures Act), Reproductive rights and women's health, Environmental protection and public lands preservation",DW-NOMINATE: -0.43 (Solidly Progressive) • ~92% Party Loyalty,House Committee on Energy and Commerce,N/A (No net worth disclosure provided in sources),2027-01-03,
D000216,Rosa DeLauro,House,Democrat,CT,District 3,2025-01-03,83.0,1943-03-02,"Master of Arts in International Politics, Columbia University","Political campaign manager, Chief of Staff to Senator Chris Dodd, and Executive Director of EMILY's List",1152006.56,1028036.22,Individual/PAC contributions,"Family economic security and the Child Tax Credit, Public health, food safety, and healthcare access, Labor rights, equal pay, and raising the minimum wage",DW-NOMINATE: -0.41 (Solidly Progressive) • ~92% Party Loyalty,House Committee on Appropriations,"$15,934,508",2027-01-03,
D000616,Scott DesJarlais,House,Republican,TN,District 4,2025-01-03,62.0,1964-02-21,"Doctor of Medicine (M.D.), University of South Dakota School of Medicine",Physician (Family Medicine),973111.33,957680.19,Individual/PAC contributions,"Healthcare Reform, Fiscal Conservatism and Government Spending Reduction, Agriculture and Rural Development",DW-NOMINATE: +0.58 (Solidly Conservative) • ~97% Party Loyalty,House Committee on Agriculture; House Committee on Armed Services,N/A (No net worth disclosure provided in sources),2027-01-03,
D000600,Mario Diaz-Balart,House,Republican,FL,District 26,2025-01-03,64.0,1961-09-25,University of South Florida (attended),Public service,1073881.66,999323.92,Individual/PAC contributions,General legislative priorities,DW-NOMINATE: +0.28 (Moderate Republican) • ~88% Party Loyalty,House Committee on Appropriations,"-$37,000",2027-01-03,
D000399,Lloyd Doggett,House,Democrat,TX,District 37,2025-01-03,79.0,1946-10-06,"Juris Doctor (J.D.), University of Texas School of Law",Attorney in private practice,471289.18,309125.2,Individual/PAC contributions,"Healthcare access and Medicare preservation, Environmental protection and climate action, Tax reform and affordable higher education",DW-NOMINATE: -0.40 (Solidly Progressive) • ~92% Party Loyalty,House Committee on Ways and Means; House Committee on the Budget; Joint Committee on Taxation,"$15,533,044",2027-01-03,
F000459,Charles Fleischmann,House,Republican,TN,District 3,2025-01-03,63.0,1962-10-11,Juris Doctor (J.D.) from the University of Tennessee College of Law,Attorney and founder of the Fleischmann & Associates law firm,2330803.33,752330.86,Individual/PAC contributions,"Nuclear Energy and Support for Oak Ridge National Laboratory, Fiscal Conservatism and Federal Spending Reduction, National Security and Border Security",DW-NOMINATE: +0.43 (Solidly Conservative) • ~92% Party Loyalty,"House Committee on Science, Space, and Technology (Subcommittee); House Committee on Appropriations; House Committee on Science, Space, and Technology",N/A (No net worth disclosure provided in sources),2027-01-03,
F000450,Virginia Foxx,House,Republican,NC,District 5,2025-01-03,83.0,1943-06-29,"Ed.D. in Curriculum and Teaching, University of North Carolina at Greensboro",Higher education administrator (President of Mayland Community College) and educator,1662603.66,1204803.6,Individual/PAC contributions,"Education and workforce development, Fiscal responsibility and federal spending reduction, Deregulation and reducing federal oversight",DW-NOMINATE: +0.62 (Solidly Conservative) • ~98% Party Loyalty,House Committee on Oversight and Accountability (Subcommittee); House Committee on Education and Workforce; House Committee on Education and the Workforce; House Committee on Oversight and Government Reform; House Committee on Rules,"$5,923,516",2027-01-03,
G000559,John Garamendi,House,Democrat,CA,District 8,2025-01-03,81.0,1945-01-24,Master of Business Administration (MBA) from Harvard Business School,"Rancher, businessman, and Peace Corps volunteer",1764504.06,1714971.13,Individual/PAC contributions,"Maritime and National Defense, Water Infrastructure and Environmental Protection, Agriculture and Rural Development",DW-NOMINATE: -0.31 (Moderate Democrat) • ~89% Party Loyalty,House Committee on Armed Services; House Committee on Transportation and Infrastructure,"$9,716,505",2027-01-03,
G000565,Paul Gosar,House,Republican,AZ,District 9,2025-01-03,67.0,1958-11-22,Doctor of Dental Surgery (D.D.S.) from Creighton University,Dentist and private practice owner,580042.5,368425.78,Individual/PAC contributions,"Border security and immigration enforcement, Federal land management and natural resource development, Government accountability and spending reduction",DW-NOMINATE: +0.70 (Solidly Conservative) • ~99% Party Loyalty,House Committee on Oversight and Accountability (Subcommittee); House Committee on Natural Resources (Subcommittee); House Committee on Natural Resources; House Committee on Oversight and Government Reform,"$982,501",2027-01-03,
G000546,Sam Graves,House,Republican,MO,District 6,2025-01-03,62.0,1963-11-07,"Bachelor of Science in Agriculture, University of Missouri",Family Farmer,1806360.65,1195985.86,Individual/PAC contributions,"Transportation and Infrastructure, Agriculture and Rural Development, General Aviation",DW-NOMINATE: +0.45 (Solidly Conservative) • ~93% Party Loyalty,House Committee on Armed Services; House Committee on Transportation and Infrastructure,"$1,145,003",2027-01-03,
G000553,Al Green,House,Democrat,TX,District 9,2025-01-03,78.0,1947-09-01,Juris Doctor (J.D.) from Texas Southern University Thurgood Marshall School of Law,Attorney and Harris County Justice of the Peace,1725770.78,1860105.1,Individual/PAC contributions,"Civil Rights and Racial Justice, Affordable Housing and Consumer Protection, Healthcare Access",DW-NOMINATE: -0.45 (Solidly Progressive) • ~93% Party Loyalty,House Committee on Homeland Security (Subcommittee); House Committee on Financial Services; House Committee on Homeland Security,"$4,407,505",2027-01-03,
G000568,H. Griffith,House,Republican,VA,District 9,2025-01-03,68.0,1958-03-15,Juris Doctor (J.D.) from Washington and Lee University School of Law,Private practice attorney,1075273.06,1029522.48,Individual/PAC contributions,"Energy independence and coal advocacy, Healthcare reform, Regulatory relief and government oversight",DW-NOMINATE: +0.51 (Solidly Conservative) • ~95% Party Loyalty,"House Committee on Rules (Subcommittee); House Committee on Energy and Commerce; House Committee on House Administration; House Committee on Rules; House Select Subcommittee to Investigate the Remaining Questions Surrounding January 6, 2021",N/A (No net worth disclosure provided in sources),2027-01-03,
G000558,Brett Guthrie,House,Republican,KY,District 2,2025-01-03,62.0,1964-02-18,Master of Public Management from Yale University,U.S. Army Officer and Manufacturing Executive (Vice President of Trace Die Cast),4707592.6,3355565.93,Individual/PAC contributions,"Healthcare access and modernization, Telecommunications and technology expansion, Workforce development and education",DW-NOMINATE: +0.43 (Solidly Conservative) • ~92% Party Loyalty,House Committee on Energy and Commerce,"$613,514",2027-01-03,
H001052,Andy Harris,House,Republican,MD,District 1,2025-01-03,69.0,1957-01-25,"M.D., Johns Hopkins University",Anesthesiologist and U.S. Navy Reserve Medical Corps Officer,2319668.06,1221000.58,Individual/PAC contributions,"Healthcare reform and opposing the Affordable Care Act, Fiscal conservatism and federal spending reduction, Agriculture, fisheries, and Chesapeake Bay preservation",DW-NOMINATE: +0.68 (Solidly Conservative) • ~99% Party Loyalty,House Committee on Appropriations,N/A (No net worth disclosure provided in sources),2027-01-03,
H001047,James Himes,House,Democrat,CT,District 4,2025-01-03,60.0,1966-07-05,"M.Phil. in Latin American Studies, Oxford University",Investment Banker at Goldman Sachs and Vice President at Enterprise Community Partners (affordable housing nonprofit),3940033.94,3909942.23,Individual/PAC contributions,"Financial Services and Economic Regulation, National Security and Intelligence, Affordable Housing and Infrastructure Investment",DW-NOMINATE: -0.24 (Moderate Democrat) • ~87% Party Loyalty,House Committee on Financial Services; House Permanent Select Committee on Intelligence,N/A (No net worth disclosure provided in sources),2027-01-03,
H000874,Steny Hoyer,House,Democrat,MD,District 5,2025-01-03,87.0,1939-06-14,Juris Doctor (J.D.) from Georgetown University Law Center,Attorney in private practice,402330.17,703137.88,Individual/PAC contributions,"Federal workforce and government operations, Fiscal responsibility and budget reform, Economic development and domestic manufacturing",DW-NOMINATE: -0.38 (Moderate Democrat) • ~91% Party Loyalty,House Committee on Appropriations,N/A (No net worth disclosure provided in sources),2027-01-03,
H001058,Bill Huizenga,House,Republican,MI,District 4,2025-01-03,57.0,1969-01-31,Calvin University (BA in Political Science),Public service,Unknown,Unknown,Individual/PAC contributions,General legislative priorities,DW-NOMINATE: +0.53 (Solidly Conservative) • ~95% Party Loyalty,House Committee on Financial Services; House Committee on Foreign Affairs,"$734,006",2027-01-03,
J000288,Henry Johnson,House,Democrat,GA,District 4,2025-01-03,71.0,1954-10-02,Juris Doctor (J.D.) from North Carolina Central University School of Law,Attorney in private practice and Associate Magistrate Court Judge,Unknown,Unknown,Individual/PAC contributions,"Judiciary and court reform, Civil rights and voting rights, Consumer protection and antitrust",DW-NOMINATE: -0.48 (Solidly Progressive) • ~94% Party Loyalty,House Committee on Transportation and Infrastructure; House Committee on the Judiciary,N/A (No net worth disclosure provided in sources),2027-01-03,
J000289,Jim Jordan,House,Republican,OH,District 4,2025-01-03,62.0,1964-02-17,Juris Doctor (J.D.) from Capital University Law School,Assistant Wrestling Coach at Ohio State University,Unknown,Unknown,Individual/PAC contributions,"Government oversight and accountability, Fiscal conservatism and federal spending cuts, Defense of conservative social values and constitutional rights",DW-NOMINATE: +0.71 (Solidly Conservative) • ~99% Party Loyalty,House Committee on Oversight and Government Reform; House Committee on the Judiciary,"$240,504",2027-01-03,
K000009,Marcy Kaptur,House,Democrat,OH,District 9,2025-01-03,80.0,1946-06-17,"Master of Urban Planning, University of Michigan","Urban Planner, White House Domestic Policy Advisor",Unknown,Unknown,Individual/PAC contributions,"Great Lakes environmental protection and restoration, Manufacturing, fair trade, and job creation, Veterans affairs and military support",DW-NOMINATE: -0.34 (Moderate Democrat) • ~90% Party Loyalty,House Committee on Appropriations; House Committee on the Budget,"$520,008",2027-01-03,
K000375,William Keating,House,Democrat,MA,District 9,2025-01-03,73.0,1952-09-06,"Boston College (BA, MBA), Suffolk University Law School (JD)",Public service,Unknown,Unknown,Individual/PAC contributions,General legislative priorities,DW-NOMINATE: -0.33 (Moderate Democrat) • ~89% Party Loyalty,House Committee on Armed Services; House Committee on Foreign Affairs,N/A (No net worth disclosure provided in sources),2027-01-03,
K000376,Mike Kelly,House,Republican,PA,District 16,2025-01-03,78.0,1948-05-10,"Bachelor of Arts, University of Notre Dame",Automobile dealership owner and operator,Unknown,Unknown,Individual/PAC contributions,"Tax reform and economic growth, Trade and manufacturing, Energy independence",DW-NOMINATE: +0.38 (Moderate Republican) • ~91% Party Loyalty,House Committee on Ways and Means,"$19,266,515",2027-01-03,
L000560,Rick Larsen,House,Democrat,WA,District 2,2025-01-03,61.0,1965-06-15,Master of Public Administration (MPA) from the University of Minnesota,"Director of Public Affairs for the Washington State Dental Association, Economic Development Specialist",Unknown,Unknown,Individual/PAC contributions,"Transportation and Infrastructure, Trade and Economic Growth, Environmental Protection and Puget Sound Recovery",DW-NOMINATE: -0.36 (Moderate Democrat) • ~90% Party Loyalty,House Committee on Transportation and Infrastructure,"$255,007",2027-01-03,
L000557,John Larson,House,Democrat,CT,District 1,2025-01-03,78.0,1948-07-22,"Bachelor of Science in History and Education, Central Connecticut State University","High school history teacher, Insurance agency co-owner",Unknown,Unknown,Individual/PAC contributions,"Social Security preservation and expansion (Social Security 2100 Act), Manufacturing and job creation, Clean energy and infrastructure investment",DW-NOMINATE: -0.40 (Moderate Democrat) • ~91% Party Loyalty,House Committee on Ways and Means,"$180,503",2027-01-03,
L000566,Robert Latta,House,Republican,OH,District 5,2025-01-03,70.0,1956-04-18,Juris Doctor (J.D.) from the University of Toledo College of Law,Attorney in private practice,142934.0,138712.0,Individual/PAC contributions,"Energy and grid modernization, Telecommunications and rural broadband expansion, Agriculture and manufacturing job growth",DW-NOMINATE: +0.51 (Solidly Conservative) • ~95% Party Loyalty,House Committee on Energy and Commerce,N/A (No net worth disclosure provided in sources),2027-01-03,
L000397,Zoe Lofgren,House,Democrat,CA,District 18,2025-01-03,78.0,1947-12-21,Juris Doctor (J.D.) from Santa Clara University School of Law,Immigration attorney and congressional staffer,Unknown,Unknown,Individual/PAC contributions,"Immigration reform, Technology policy and digital privacy, Government oversight and election integrity",DW-NOMINATE: -0.40 (Moderate Democrat) • ~91% Party Loyalty,"House Committee on Science, Space, and Technology; House Committee on the Judiciary",N/A (No net worth disclosure provided in sources),2027-01-03,
L000491,Frank Lucas,House,Republican,OK,District 3,2025-01-03,66.0,1960-01-06,"B.S. in Agricultural Economics, Oklahoma State University",Farmer and Rancher,Unknown,Unknown,Individual/PAC contributions,"Agriculture and Farm Bill legislation, Science, Space, and Technology development, Financial Services and banking regulation",DW-NOMINATE: +0.36 (Moderate Republican) • ~90% Party Loyalty,House Committee on Agriculture; House Committee on Financial Services,"$397,502",2027-01-03,
L000562,Stephen Lynch,House,Democrat,MA,District 8,2025-01-03,71.0,1955-03-31,Master of Public Administration (MPA) from Harvard University,Structural Ironworker and President of Ironworkers Local 7,Unknown,Unknown,Individual/PAC contributions,"Labor and Union Rights, Financial Services and Banking Regulation, National Security and Counterterrorism",DW-NOMINATE: -0.34 (Moderate Democrat) • ~90% Party Loyalty,House Committee on Oversight and Accountability (Subcommittee); House Committee on Financial Services; House Committee on Oversight and Government Reform,"$673,008",2027-01-03,
M001163,Doris Matsui,House,Democrat,CA,District 7,2025-01-03,81.0,1944-09-25,"University of California, Berkeley (BA in Psychology)",Public service,Unknown,Unknown,Individual/PAC contributions,General legislative priorities,DW-NOMINATE: -0.43 (Solidly Progressive) • ~92% Party Loyalty,House Committee on Energy and Commerce,"$1,309,009",2027-01-03,
M001157,Michael McCaul,House,Republican,TX,District 10,2025-01-03,64.0,1962-01-14,Juris Doctor (J.D.) from St. Mary's University School of Law,Federal prosecutor and Deputy Attorney General of Texas,276975.57,408044.48,Individual/PAC contributions,"National Security and Foreign Affairs, Homeland and Border Security, Cybersecurity and Technology Innovation",DW-NOMINATE: +0.41 (Solidly Conservative) • ~92% Party Loyalty,House Committee on Foreign Affairs; House Committee on Homeland Security,"$500,624,461",2027-01-03,
M001177,Tom McClintock,House,Republican,CA,District 5,2025-01-03,70.0,1956-07-10,"University of California, Los Angeles (BA in Political Science)",Public service,Unknown,Unknown,Individual/PAC contributions,General legislative priorities,DW-NOMINATE: +0.67 (Solidly Conservative) • ~99% Party Loyalty,House Committee on Natural Resources (Subcommittee); House Committee on Natural Resources; House Committee on the Budget; House Committee on the Judiciary,"-$30,498",2027-01-03,
M001143,Betty McCollum,House,Democrat,MN,District 4,2025-01-03,72.0,1954-07-12,"Bachelor of Science in Social Science and Education, College of St. Catherine",High school social studies teacher and retail sales manager,Unknown,Unknown,Individual/PAC contributions,"Environmental protection and conservation, Federal funding for public education, Healthcare access and quality",DW-NOMINATE: -0.42 (Solidly Progressive) • ~92% Party Loyalty,House Committee on Appropriations,"$96,006",2027-01-03,
M000312,James McGovern,House,Democrat,MA,District 2,2025-01-03,66.0,1959-11-20,Master of Public Administration (M.P.A.) from American University,Congressional aide and senior staff member to U.S. Representative Joe Moakley,Unknown,Unknown,Individual/PAC contributions,"Eradicating hunger and food insecurity, Global human rights advocacy, Agriculture and nutrition policy",DW-NOMINATE: -0.54 (Solidly Progressive) • ~96% Party Loyalty,House Committee on Rules (Subcommittee); House Committee on Agriculture; House Committee on Rules,"$3,228,506",2027-01-03,
M001137,Gregory Meeks,House,Democrat,NY,District 5,2025-01-03,72.0,1953-09-25,Juris Doctor (J.D.) from Howard University School of Law,"Assistant District Attorney, Special Associate Prosecutor, and Attorney in private practice",Unknown,Unknown,Individual/PAC contributions,"Foreign Affairs and International Trade, Financial Services and Consumer Protection, Economic Development and Affordable Housing",DW-NOMINATE: -0.41 (Solidly Progressive) • ~92% Party Loyalty,House Committee on Financial Services; House Committee on Foreign Affairs,$0,2027-01-03,
M001160,Gwen Moore,House,Democrat,WI,District 4,2025-01-03,75.0,1951-04-18,"Bachelor of Arts in Political Science, Marquette University","Community organizer, housing activist, and neighborhood development specialist",Unknown,Unknown,Individual/PAC contributions,"Poverty alleviation and social welfare program advocacy, Women's health, safety, and reproductive rights, Economic development and financial services reform",DW-NOMINATE: -0.52 (Solidly Progressive) • ~95% Party Loyalty,House Committee on Ways and Means; Joint Economic Committee,$0,2027-01-03,
N000002,Jerrold Nadler,House,Democrat,NY,District 12,2025-01-03,79.0,1947-06-13,"Columbia University (BA), Fordham University School of Law (JD)",Public service,Unknown,Unknown,Individual/PAC contributions,General legislative priorities,DW-NOMINATE: -0.51 (Solidly Progressive) • ~95% Party Loyalty,House Committee on Transportation and Infrastructure; House Committee on the Judiciary,"$28,001",2027-01-03,
N000015,Richard Neal,House,Democrat,MA,District 1,2025-01-03,77.0,1949-02-14,"American International College (BA in Political Science), University of Hartford (MPA)",Public service,2288096.26,2123903.62,Individual/PAC contributions,General legislative priorities,DW-NOMINATE: -0.42 (Solidly Progressive) • ~92% Party Loyalty,House Committee on Ways and Means; Joint Committee on Taxation,N/A (No net worth disclosure provided in sources),2027-01-03,
N000147,Eleanor Norton,House,Democrat,DC,District 0,2025-01-03,89.0,1937-06-13,"Antioch College (BA), Yale University (MA, LLB)",Public service,53774.8,86859.94,Individual/PAC contributions,General legislative priorities,DW-NOMINATE: -0.49 (Solidly Progressive) • ~94% Party Loyalty,House Committee on Oversight and Accountability (Subcommittee); House Committee on Oversight and Government Reform; House Committee on Transportation and Infrastructure,N/A (No net worth disclosure provided in sources),2027-01-03,
P000034,Frank Pallone,House,Democrat,NJ,District 6,2025-01-03,74.0,1951-10-30,Juris Doctor (J.D.) from Rutgers School of Law–Camden,Attorney in private practice specializing in maritime law,Unknown,Unknown,Individual/PAC contributions,"Healthcare reform and strengthening the Affordable Care Act, Environmental protection, climate change mitigation, and coastal preservation, Consumer protection and telecommunications infrastructure",DW-NOMINATE: -0.40 (Solidly Progressive) • ~92% Party Loyalty,House Committee on Energy and Commerce,"$789,027",2027-01-03,
P000197,Nancy Pelosi,House,Democrat,CA,District 11,2025-01-03,86.0,1940-03-26,"Bachelor of Arts in Political Science, Trinity College (now Trinity Washington University)","Political organizer, Democratic Party activist, and homemaker",Unknown,Unknown,Individual/PAC contributions,"Health care reform and expansion (including the Affordable Care Act), Climate change mitigation and green energy investment, Economic opportunity, infrastructure development, and support for working families",DW-NOMINATE: -0.49 (Solidly Progressive) • ~94% Party Loyalty,None assigned,"$94,162,532",2027-01-03,
P000597,Chellie Pingree,House,Democrat,ME,District 1,2025-01-03,71.0,1955-04-02,"Bachelor of Science in Human Ecology, College of the Atlantic",Organic farmer and small business owner,Unknown,Unknown,Individual/PAC contributions,"Sustainable agriculture and local food systems, Environmental protection and climate change mitigation, Support for the arts and creative economy",DW-NOMINATE: -0.42 (Solidly Progressive) • ~92% Party Loyalty,House Committee on Agriculture; House Committee on Appropriations,"$88,544,030",2027-01-03,
