Bioguide ID,Name,Chamber,Party,State,District,Term Start,Age,Birthdate,Education,Previous Professions,Total Receipts,Total Disbursements,Main Funding Sources,Policy Focus & Platforms,Projected/Historical Voting Alignment,Committee Assignments,Estimated Net Worth,Term End Date,Status
R000122,John Reed,Senate,Democrat,RI,Unknown,2021-01-03,76,1949-11-12,Juris Doctor (J.D.) from Harvard Law School,U.S. Army Officer and Attorney,4214314.74,2580940.81,Individual/PAC contributions,"National Security and Defense, Education and Student Loan Reform, Financial Regulation and Consumer Protection",DW-NOMINATE: -0.36 (Moderate Democrat) • ~90% Party Loyalty,"Senate Committee on Appropriations (Subcommittee); Senate Committee on Armed Services (Subcommittee); Senate Committee on Banking, Housing, and Urban Affairs (Subcommittee); Senate Committee on Appropriations; Senate Committee on Armed Services; Senate Committee on Banking, Housing, and Urban Affairs; Senate Select Committee on Intelligence",N/A (No net worth disclosure provided in sources),2027-01-03,Active Member
R000584,James Risch,Senate,Republican,ID,Unknown,2021-01-03,83,1943-05-03,"Juris Doctor (J.D.), University of Idaho College of Law",Prosecuting Attorney and Rancher,4431093.48,3089996.46,Individual/PAC contributions,"Foreign Relations and National Security, Energy and Natural Resources, Fiscal Responsibility and Small Business Support",DW-NOMINATE: +0.55 (Solidly Conservative) • ~96% Party Loyalty,Senate Committee on Energy and Natural Resources (Subcommittee); Senate Committee on Energy and Natural Resources; Senate Committee on Foreign Relations; Senate Committee on Small Business and Entrepreneurship; Senate Select Committee on Ethics; Senate Select Committee on Intelligence; United States Senate Caucus on International Narcotics Control,"$53,385,526",2027-01-03,Active Member
S001181,Jeanne Shaheen,Senate,Democrat,NH,Unknown,2021-01-03,79,1947-01-28,Master of Science in Library Science from Syracuse University,High school teacher and small business owner,2668037.98,2914576.92,Individual/PAC contributions,"Healthcare access and reproductive rights, Small business support and economic development, Foreign relations and national security",DW-NOMINATE: -0.22 (Moderate Democrat) • ~86% Party Loyalty,Commission on Security and Cooperation in Europe; Senate Committee on Appropriations (Subcommittee); Senate Committee on Armed Services (Subcommittee); Senate Committee on Appropriations; Senate Committee on Armed Services; Senate Committee on Foreign Relations; Senate Committee on Small Business and Entrepreneurship; Senate Select Committee on Ethics,"$3,457,871",2027-01-03,Retiring in 2026
W000805,Mark Warner,Senate,Democrat,VA,Unknown,2021-01-03,71,1954-12-15,Juris Doctor (J.D.) from Harvard Law School,Venture capitalist and telecommunications entrepreneur,11634126.0,11611984.0,Individual/PAC contributions,"Cybersecurity and technology policy, National security and intelligence, Fiscal responsibility and economic growth",DW-NOMINATE: -0.22 (Moderate Democrat) • ~86% Party Loyalty,"Senate Committee on Banking, Housing, and Urban Affairs (Subcommittee); Senate Committee on Banking, Housing, and Urban Affairs; Senate Committee on Finance; Senate Committee on Rules and Administration; Senate Committee on the Budget; Senate Select Committee on Intelligence","$228,129,609",2027-01-03,Active Member
G000555,Kirsten Gillibrand,Senate,Democrat,NY,Unknown,2025-01-03,59,1966-12-09,"Juris Doctor (J.D.) from the University of California, Los Angeles (UCLA) School of Law",Attorney in private practice and public service,4649656.96,4489397.18,Individual/PAC contributions,"Combating sexual assault in the military and on college campuses, Paid family and medical leave advocacy, Healthcare access and 9/11 first responder benefits",DW-NOMINATE: -0.45 (Solidly Progressive) • ~93% Party Loyalty,Senate Committee on Appropriations (Subcommittee); Senate Committee on Armed Services (Subcommittee); Senate Committee on Appropriations; Senate Committee on Armed Services; Senate Select Committee on Intelligence; Senate Special Committee on Aging,"$102,003",2031-01-03,Active Member
C001088,Christopher Coons,Senate,Democrat,DE,Unknown,2021-01-03,62,1963-09-09,Juris Doctor (J.D.) from Yale Law School,Corporate Attorney at W. L. Gore & Associates,6669193.85,3804022.62,Individual/PAC contributions,"Foreign Relations and Global Development, Intellectual Property and Patent Reform, Bipartisan Climate and Environmental Solutions",DW-NOMINATE: -0.24 (Moderate Democrat) • ~87% Party Loyalty,Senate Committee on Appropriations (Subcommittee); Senate Committee on Appropriations; Senate Committee on Foreign Relations; Senate Committee on Small Business and Entrepreneurship; Senate Committee on the Judiciary; Senate Select Committee on Ethics,N/A (No net worth disclosure provided in sources),2027-01-03,Active Member
B001230,Tammy Baldwin,Senate,Democrat,WI,Unknown,2025-01-03,64,1962-02-11,Unknown,Public service,1197113.57,1084310.9,Individual/PAC contributions,General legislative priorities,DW-NOMINATE: -0.48 (Solidly Progressive) • ~94% Party Loyalty,"Senate Committee on Appropriations (Subcommittee); Senate Committee on Health, Education, Labor, and Pensions (Subcommittee); Senate Committee on Appropriations; Senate Committee on Commerce, Science, and Transportation; Senate Committee on Health, Education, Labor, and Pensions","$758,501",2031-01-03,Active Member
B001267,Michael Bennet,Senate,Democrat,CO,Unknown,2023-01-03,61,1964-11-28,Juris Doctor (J.D.) from Yale Law School,"Superintendent of Denver Public Schools, Managing Director at Anschutz Investment Company, and Attorney",1395302.92,1934336.37,Individual/PAC contributions,"Education reform and modernization, Child poverty reduction (including the expanded Child Tax Credit), Environmental conservation, public lands protection, and climate change mitigation",DW-NOMINATE: -0.25 (Moderate Democrat) • ~87% Party Loyalty,"Senate Committee on Agriculture, Nutrition, and Forestry; Senate Committee on Finance; Senate Committee on Rules and Administration; Senate Select Committee on Intelligence","$12,108,015",2029-01-03,Active Member
B001243,Marsha Blackburn,Senate,Republican,TN,Unknown,2025-01-03,74,1952-06-06,"Bachelor of Science in Home Economics, Mississippi State University",Marketing consultant and businesswoman (Founder of Marketing Strategies),2239550.04,1550219.15,Individual/PAC contributions,"Fiscal conservatism and tax cuts, Border security and immigration enforcement, Technology regulation, online privacy, and child safety",DW-NOMINATE: +0.63 (Solidly Conservative) • ~98% Party Loyalty,"Joint Economic Committee; Senate Committee on Commerce, Science, and Transportation; Senate Committee on Finance; Senate Committee on Veterans' Affairs; Senate Committee on the Judiciary","$424,510",2031-01-03,Active Member
B001277,Richard Blumenthal,Senate,Democrat,CT,Unknown,2023-01-03,80,1946-02-13,Juris Doctor (J.D.) from Yale Law School,Attorney and U.S. Attorney for the District of Connecticut,8737377.0,8718286.0,Individual/PAC contributions,"Consumer Protection, Gun Violence Prevention, Veterans' Affairs",DW-NOMINATE: -0.43 (Solidly Progressive) • ~92% Party Loyalty,Senate Committee on Armed Services (Subcommittee); Senate Committee on Homeland Security and Governmental Affairs (Subcommittee); Senate Committee on Armed Services; Senate Committee on Homeland Security and Governmental Affairs; Senate Committee on Veterans' Affairs; Senate Committee on the Judiciary; United States Senate Caucus on International Narcotics Control,"$100,190,174",2029-01-03,Active Member
B001236,John Boozman,Senate,Republican,AR,Unknown,2023-01-03,75,1950-12-10,Doctor of Optometry (O.D.) from Southern College of Optometry,Optometrist and co-founder of Boozman-Hof Regional Eye Clinic,697061.17,651065.18,Individual/PAC contributions,"Agriculture and Nutrition, Veterans' Care and Benefits, Infrastructure and Economic Development",DW-NOMINATE: +0.43 (Solidly Conservative) • ~92% Party Loyalty,"Commission on Security and Cooperation in Europe; Senate Committee on Appropriations (Subcommittee); Senate Committee on Environment and Public Works (Subcommittee); Senate Committee on Agriculture, Nutrition, and Forestry; Senate Committee on Appropriations; Senate Committee on Environment and Public Works; Senate Committee on Rules and Administration; Senate Committee on Veterans' Affairs","$2,938,504",2029-01-03,Active Member
C001047,Shelley Capito,Senate,Republican,WV,Unknown,2021-01-03,72,1953-11-26,Master of Education (M.Ed.) from the University of Virginia,"College career counselor, Director of the educational information center for the West Virginia Board of Regents",1367504.0,1288226.0,Individual/PAC contributions,"Infrastructure development and rural broadband expansion, Energy independence and supporting traditional energy industries like coal and natural gas, Combating the opioid epidemic and improving public health resources",DW-NOMINATE: +0.28 (Moderate Republican) • ~88% Party Loyalty,"Senate Committee on Appropriations (Subcommittee); Senate Committee on Environment and Public Works (Subcommittee); Senate Committee on Appropriations; Senate Committee on Commerce, Science, and Transportation; Senate Committee on Environment and Public Works; Senate Committee on Rules and Administration",N/A (No net worth disclosure provided in sources),2027-01-03,Active Member
C001075,Bill Cassidy,Senate,Republican,LA,Unknown,2021-01-03,68,1957-09-28,Unknown,Public service,627040.05,2660513.5,Individual/PAC contributions,General legislative priorities,DW-NOMINATE: +0.46 (Solidly Conservative) • ~93% Party Loyalty,"Senate Committee on Energy and Natural Resources (Subcommittee); Senate Committee on Health, Education, Labor, and Pensions (Subcommittee); Senate Committee on Energy and Natural Resources; Senate Committee on Finance; Senate Committee on Health, Education, Labor, and Pensions; Senate Committee on Veterans' Affairs",N/A (No net worth disclosure provided in sources),2027-01-03,Defeated in 2026 Primary
C000880,Michael Crapo,Senate,Republican,ID,Unknown,2023-01-03,75,1951-05-20,Juris Doctor (J.D.) from Harvard Law School,Attorney in private practice,2222161.6,1618565.4,Individual/PAC contributions,"Fiscal conservatism and tax reform, Financial sector regulation and banking reform, Natural resources and collaborative conservation",DW-NOMINATE: +0.51 (Solidly Conservative) • ~95% Party Loyalty,"Joint Committee on Taxation; Senate Committee on Banking, Housing, and Urban Affairs (Subcommittee); Senate Committee on Banking, Housing, and Urban Affairs; Senate Committee on Finance; Senate Committee on the Budget",N/A (No net worth disclosure provided in sources),2029-01-03,Active Member
G000386,Charles Grassley,Senate,Republican,IA,Unknown,2023-01-03,92,1933-09-17,"Master of Arts (M.A.) in Political Science, University of Northern Iowa",Farmer and factory worker (sheet metal shearer),1098150.95,1179361.69,Individual/PAC contributions,"Government oversight and whistleblower protection, Agriculture and rural development, Judiciary and tax reform",DW-NOMINATE: +0.36 (Moderate Republican) • ~90% Party Loyalty,"Joint Committee on Taxation; Senate Committee on Agriculture, Nutrition, and Forestry; Senate Committee on Finance; Senate Committee on the Budget; Senate Committee on the Judiciary; United States Senate Caucus on International Narcotics Control",N/A (No net worth disclosure provided in sources),2029-01-03,Active Member
H001046,Martin Heinrich,Senate,Democrat,NM,Unknown,2025-01-03,54,1971-10-17,Unknown,Public service,2792508.54,2770752.23,Individual/PAC contributions,General legislative priorities,DW-NOMINATE: -0.33 (Moderate Democrat) • ~89% Party Loyalty,Joint Economic Committee; Senate Committee on Appropriations (Subcommittee); Senate Committee on Energy and Natural Resources (Subcommittee); Senate Committee on Appropriations; Senate Committee on Energy and Natural Resources; Senate Select Committee on Intelligence,"$53,008",2031-01-03,Active Member
H001042,Mazie Hirono,Senate,Democrat,HI,Unknown,2025-01-03,78,1947-11-03,Juris Doctor (J.D.) from Georgetown University Law Center,Attorney in private practice,992526.31,1102377.06,Individual/PAC contributions,"Healthcare access and reproductive rights, Education and early childhood development, Immigration reform and civil rights",DW-NOMINATE: -0.51 (Solidly Progressive) • ~95% Party Loyalty,Senate Committee on Armed Services (Subcommittee); Senate Committee on Energy and Natural Resources (Subcommittee); Senate Committee on Armed Services; Senate Committee on Energy and Natural Resources; Senate Committee on Small Business and Entrepreneurship; Senate Committee on Veterans' Affairs; Senate Committee on the Judiciary,"$2,478,018",2031-01-03,Active Member
H001061,John Hoeven,Senate,Republican,ND,Unknown,2023-01-03,69,1957-03-13,Unknown,Public service,3801481.0,2909158.0,Individual/PAC contributions,General legislative priorities,DW-NOMINATE: +0.40 (Solidly Conservative) • ~92% Party Loyalty,"Senate Committee on Appropriations (Subcommittee); Senate Committee on Energy and Natural Resources (Subcommittee); Senate Committee on Agriculture, Nutrition, and Forestry; Senate Committee on Appropriations; Senate Committee on Energy and Natural Resources; Senate Committee on Indian Affairs","$22,073,031",2029-01-03,Active Member
J000293,Ron Johnson,Senate,Republican,WI,Unknown,2023-01-03,71,1955-04-08,"Bachelor of Business Administration, University of Minnesota",Business executive and accountant (CEO of plastics manufacturing company PACUR),Unknown,Unknown,Individual/PAC contributions,"Fiscal responsibility and reducing the national debt, Government oversight and investigations, National security and border enforcement",DW-NOMINATE: +0.65 (Solidly Conservative) • ~99% Party Loyalty,Senate Committee on Homeland Security and Governmental Affairs (Subcommittee); Senate Committee on Finance; Senate Committee on Homeland Security and Governmental Affairs; Senate Committee on the Budget; Senate Special Committee on Aging,"$23,755,008",2029-01-03,Active Member
L000575,James Lankford,Senate,Republican,OK,Unknown,2023-01-03,58,1968-03-04,Master of Divinity (M.Div.) from Southwestern Baptist Theological Seminary,Director of Falls Creek Youth Camp and Southern Baptist minister,1155958.56,815426.72,Individual/PAC contributions,"Fiscal responsibility and government waste oversight, Border security and immigration reform, Religious liberty",DW-NOMINATE: +0.59 (Solidly Conservative) • ~97% Party Loyalty,Senate Committee on Homeland Security and Governmental Affairs (Subcommittee); Senate Committee on Finance; Senate Committee on Homeland Security and Governmental Affairs; Senate Select Committee on Ethics; Senate Select Committee on Intelligence,N/A (No net worth disclosure provided in sources),2029-01-03,Active Member
L000577,Mike Lee,Senate,Republican,UT,Unknown,2023-01-03,55,1971-06-04,Juris Doctor (J.D.) from Brigham Young University J. Reuben Clark Law School,"Attorney (including private practice, Assistant U.S. Attorney, and judicial law clerk)",Unknown,Unknown,Individual/PAC contributions,"Constitutional conservatism and originalism, Fiscal responsibility and federal spending reduction, Regulatory reform and federalism",DW-NOMINATE: +0.89 (Solidly Conservative) • ~99% Party Loyalty,Senate Committee on Energy and Natural Resources (Subcommittee); Senate Committee on Energy and Natural Resources; Senate Committee on Foreign Relations; Senate Committee on the Budget; Senate Committee on the Judiciary,"$111,002",2029-01-03,Active Member
L000570,Ben Luján,Senate,Democrat,NM,Unknown,2021-01-03,54,1972-06-07,"Bachelor of Business Administration (B.B.A.), New Mexico Highlands University","Financial Analyst, Deputy State Treasurer",Unknown,Unknown,Individual/PAC contributions,"Healthcare access and affordability, Clean energy and environmental protection, Broadband expansion and telecommunications",DW-NOMINATE: -0.38 (Moderate Democrat) • ~91% Party Loyalty,"Senate Committee on Agriculture, Nutrition, and Forestry; Senate Committee on Commerce, Science, and Transportation; Senate Committee on Finance; Senate Committee on Indian Affairs; Senate Committee on the Budget; United States Senate Caucus on International Narcotics Control",N/A (No net worth disclosure provided in sources),2027-01-03,Active Member
M000133,Edward Markey,Senate,Democrat,MA,Unknown,2021-01-03,80,1946-07-11,Juris Doctor (J.D.) from Boston College Law School,Attorney,1091666.32,1110491.92,Individual/PAC contributions,"Climate change and environmental policy (co-author of the Green New Deal), Telecommunications, technology, and digital privacy, Consumer protection and clean energy",DW-NOMINATE: -0.52 (Solidly Progressive) • ~95% Party Loyalty,"Senate Committee on Environment and Public Works (Subcommittee); Senate Committee on Health, Education, Labor, and Pensions (Subcommittee); Senate Committee on Commerce, Science, and Transportation; Senate Committee on Environment and Public Works; Senate Committee on Health, Education, Labor, and Pensions; Senate Committee on Small Business and Entrepreneurship","$1,503,012",2027-01-03,Active Member
M000934,Jerry Moran,Senate,Republican,KS,Unknown,2023-01-03,72,1954-05-29,"Juris Doctor (J.D.), University of Kansas School of Law","Private practice attorney, Rooks County Attorney",Unknown,Unknown,Individual/PAC contributions,"Agriculture and rural development, Veterans' affairs, Rural healthcare access",DW-NOMINATE: +0.41 (Solidly Conservative) • ~92% Party Loyalty,"Senate Committee on Appropriations (Subcommittee); Senate Committee on Agriculture, Nutrition, and Forestry; Senate Committee on Appropriations; Senate Committee on Commerce, Science, and Transportation; Senate Committee on Indian Affairs; Senate Committee on Veterans' Affairs; Senate Select Committee on Intelligence","$777,009",2029-01-03,Active Member
M001153,Lisa Murkowski,Senate,Republican,AK,Unknown,2023-01-03,69,1957-05-22,Juris Doctor (J.D.) from Willamette University College of Law,Attorney in private practice,Unknown,Unknown,Individual/PAC contributions,"Energy and Natural Resources, Arctic Development and Security, Healthcare and Bipartisan Infrastructure",DW-NOMINATE: +0.20 (Moderate Republican) • ~86% Party Loyalty,"Senate Committee on Appropriations (Subcommittee); Senate Committee on Energy and Natural Resources (Subcommittee); Senate Committee on Health, Education, Labor, and Pensions (Subcommittee); Senate Committee on Appropriations; Senate Committee on Energy and Natural Resources; Senate Committee on Health, Education, Labor, and Pensions; Senate Committee on Indian Affairs","$713,520",2029-01-03,Active Member
M001169,Christopher Murphy,Senate,Democrat,CT,Unknown,2025-01-03,53,1973-08-03,Juris Doctor (J.D.) from the University of Connecticut School of Law,Attorney,86873.39,117046.79,Individual/PAC contributions,"Gun violence prevention, Foreign policy and national security, Healthcare reform and mental health advocacy",DW-NOMINATE: -0.29 (Moderate Democrat) • ~88% Party Loyalty,"Senate Committee on Appropriations (Subcommittee); Senate Committee on Health, Education, Labor, and Pensions (Subcommittee); Senate Committee on Appropriations; Senate Committee on Foreign Relations; Senate Committee on Health, Education, Labor, and Pensions","$7,502",2031-01-03,Active Member
M001111,Patty Murray,Senate,Democrat,WA,Unknown,2023-01-03,75,1950-10-11,"Bachelor of Arts in Physical Education, Washington State University",Preschool teacher and parenting education instructor,Unknown,Unknown,Individual/PAC contributions,"Education and affordable child care, Healthcare access and reproductive rights, Federal budget, appropriations, and economic security",DW-NOMINATE: -0.36 (Moderate Democrat) • ~90% Party Loyalty,"Senate Committee on Appropriations (Subcommittee); Senate Committee on Health, Education, Labor, and Pensions (Subcommittee); Senate Committee on Appropriations; Senate Committee on Health, Education, Labor, and Pensions; Senate Committee on Veterans' Affairs; Senate Committee on the Budget","$674,508",2029-01-03,Active Member
P000603,Rand Paul,Senate,Republican,KY,Unknown,2023-01-03,63,1963-01-07,"M.D., Duke University School of Medicine",Ophthalmologist,Unknown,Unknown,Individual/PAC contributions,"Fiscal conservatism and federal debt reduction, Protection of civil liberties and privacy rights, Non-interventionist foreign policy",DW-NOMINATE: +0.88 (Solidly Conservative) • ~99% Party Loyalty,"Senate Committee on Homeland Security and Governmental Affairs (Subcommittee); Senate Committee on Health, Education, Labor, and Pensions (Subcommittee); Senate Committee on Foreign Relations; Senate Committee on Health, Education, Labor, and Pensions; Senate Committee on Homeland Security and Governmental Affairs; Senate Committee on Small Business and Entrepreneurship","$864,012",2029-01-03,Active Member
P000595,Gary Peters,Senate,Democrat,MI,Unknown,2021-01-03,67,1958-12-01,Unknown,Public service,Unknown,Unknown,Individual/PAC contributions,General legislative priorities,DW-NOMINATE: -0.25 (Moderate Democrat) • ~87% Party Loyalty,"Senate Committee on Appropriations (Subcommittee); Senate Committee on Armed Services (Subcommittee); Senate Committee on Homeland Security and Governmental Affairs (Subcommittee); Senate Committee on Appropriations; Senate Committee on Armed Services; Senate Committee on Commerce, Science, and Transportation; Senate Committee on Homeland Security and Governmental Affairs","$2,562,581",2027-01-03,Retiring in 2026
S001150,Adam Schiff,Senate,Democrat,CA,Unknown,2025-01-03,66,1960-06-22,Juris Doctor (J.D.) from Harvard Law School,Assistant U.S. Attorney (Federal Prosecutor),Unknown,Unknown,Individual/PAC contributions,"Protecting democratic institutions and the rule of law, National security and foreign policy, Affordable housing and addressing homelessness",DW-NOMINATE: -0.35 (Moderate Democrat) • ~90% Party Loyalty,"Senate Committee on Environment and Public Works (Subcommittee); Senate Committee on Agriculture, Nutrition, and Forestry; Senate Committee on Environment and Public Works; Senate Committee on Small Business and Entrepreneurship; Senate Committee on the Judiciary","$1,024,016",2031-01-03,Active Member
S000148,Charles Schumer,Senate,Democrat,NY,Unknown,2023-01-03,75,1950-11-23,Unknown,Public service,Unknown,Unknown,Individual/PAC contributions,General legislative priorities,DW-NOMINATE: -0.35 (Moderate Democrat) • ~90% Party Loyalty,Senate Committee on Rules and Administration; Senate Select Committee on Intelligence,"$150,000 - $2,500,000 (Based on 2023 disclosure)",2029-01-03,Active Member
S001184,Tim Scott,Senate,Republican,SC,Unknown,2023-01-03,60,1965-09-19,"Bachelor of Science in Political Science, Charleston Southern University",Insurance agency owner and financial advisor,Unknown,Unknown,Individual/PAC contributions,"Opportunity Zones and economic development in distressed communities, School choice and education reform, Tax reform and fiscal conservatism",DW-NOMINATE: +0.63 (Solidly Conservative) • ~98% Party Loyalty,"Senate Committee on Banking, Housing, and Urban Affairs (Subcommittee); Senate Committee on Health, Education, Labor, and Pensions (Subcommittee); Senate Committee on Banking, Housing, and Urban Affairs; Senate Committee on Finance; Senate Committee on Health, Education, Labor, and Pensions; Senate Committee on Small Business and Entrepreneurship","$3,598,007",2029-01-03,Active Member
T000250,John Thune,Senate,Republican,SD,Unknown,2023-01-03,65,1961-01-07,Unknown,Public service,20105400.0,7534224.19,"Finance, insurance, private equity (Blackstone)","Filibuster preservation, domestic energy production, agricultural support, tax reform",DW-NOMINATE: +0.43 (Solidly Conservative) • ~92% Party Loyalty,"Senate Committee on Agriculture, Nutrition, and Forestry; Senate Committee on Commerce, Science, and Transportation; Senate Committee on Finance; Senate Select Committee on Intelligence","$345,008 (historical average) / $18.5M cash on hand",2029-01-03,Active Member
